,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,97,AU,1563938592,78,-33.21,138.6,286.572,3.87
1,Saint-Philippe,75,CA,1563938363,93,45.36,-73.48,294.82,2.83
2,Butaritari,90,KI,1563938592,71,3.07,172.79,302.702,4.79
3,Ende,0,ID,1563938593,76,-8.84,121.65,297.632,2.81
4,Northam,40,AU,1563938593,67,-31.65,116.67,290.15,4.1
5,La Ronge,20,CA,1563938593,51,55.1,-105.3,300.15,2.1
6,Ketchikan,40,US,1563938590,67,55.34,-131.65,290.15,8.7
7,Ponta do Sol,0,BR,1563938593,71,-20.63,-46.0,287.792,2.65
8,Vaini,40,IN,1563938376,88,15.34,74.49,296.15,7.2
9,Dingle,79,PH,1563938593,76,11.0,122.67,302.352,3.07
10,Souillac,0,FR,1563938594,88,45.6,-0.6,297.04,1.0
11,Richards Bay,0,ZA,1563938594,39,-28.77,32.06,296.422,5.55
12,Auki,2,NG,1563938594,84,12.18,6.51,296.202,3.35
13,Mount Gambier,90,AU,1563938384,93,-37.83,140.78,286.15,5.1
14,Ushuaia,20,AR,1563938488,86,-54.81,-68.31,271.15,4.1
15,Hobart,75,AU,1563938373,50,-42.88,147.33,285.37,6.2
16,Sitka,0,US,1563938595,61,37.17,-99.65,294.26,4.39
17,Esperance,0,AU,1563938466,76,-33.86,121.89,287.15,5.7
18,Atuona,55,PF,1563938595,74,-9.8,-139.03,300.182,7.99
19,Abu Dhabi,28,AE,1563938595,46,24.47,54.37,307.15,6.2
20,Avarua,5,CK,1563938595,69,-21.21,-159.78,297.15,4.6
21,Yulara,0,AU,1563938596,15,-25.24,130.99,295.15,7.2
22,Victoria,75,BN,1563938411,70,5.28,115.24,302.15,3.6
23,Jaciara,0,BR,1563938596,47,-15.95,-54.98,293.362,0.65
24,Tilichiki,100,RU,1563938596,85,60.47,166.1,283.132,2.93
25,Coquimbo,0,CL,1563938596,81,-29.95,-71.34,280.15,3.6
26,Bluff,0,AU,1563938597,37,-23.58,149.07,296.772,2.03
27,Hithadhoo,79,MV,1563938473,67,-0.6,73.08,301.752,3.24
28,Vardo,1,US,1563938597,88,39.62,-77.74,294.15,2.1
29,Nikolskoye,40,RU,1563938597,77,59.7,30.79,290.93,1.0
30,Strezhevoy,75,RU,1563938597,82,60.73,77.6,291.15,4.0
31,Katherine,44,AU,1563938597,11,-14.47,132.26,303.15,8.7
32,Kaitangata,0,NZ,1563938598,71,-46.28,169.85,284.82,4.47
33,North Vanlaiphai,100,IN,1563938351,92,23.13,93.07,295.282,0.42
34,Lebu,91,ET,1563938413,89,8.96,38.73,286.192,1.0
35,Barrow,0,AR,1563938598,47,-38.31,-60.23,276.622,2.55
36,Qaanaaq,100,GL,1563938598,60,77.48,-69.36,279.152,3.27
37,East London,0,ZA,1563938599,31,-33.02,27.91,289.15,10.8
38,Deputatskiy,82,RU,1563938599,69,69.3,139.9,284.392,6.33
39,Busselton,98,AU,1563938599,56,-33.64,115.35,289.82,7.16
40,Sayaxche,51,GT,1563938599,92,16.52,-90.17,296.872,1.79
41,La Mana,100,EC,1563938599,95,-0.93,-79.22,281.48,1.37
42,Bathsheba,75,BB,1563938600,88,13.22,-59.52,299.15,8.7
43,Port Lincoln,85,AU,1563938600,80,-34.72,135.86,287.652,7.27
44,Karratha,100,AU,1563938600,24,-20.74,116.85,296.322,5.39
45,Owensboro,1,US,1563938415,77,37.77,-87.11,294.26,3.03
46,Puerto Narino,86,CO,1563938600,100,-3.77,-70.38,297.15,0.68
47,Gornyak,100,KZ,1563938601,79,51.0,81.46,291.472,3.66
48,Antofagasta,90,CL,1563938601,54,-23.65,-70.4,286.15,3.6
49,Bemban,75,MY,1563938601,79,2.27,102.38,302.15,2.1
50,Ballina,80,IE,1563938601,88,54.11,-9.15,290.37,2.24
51,Kapaa,75,US,1563938489,69,22.08,-159.32,301.15,6.2
52,Mataura,0,NZ,1563938601,76,-46.19,168.86,284.82,1.34
53,Upernavik,0,GL,1563938601,64,72.79,-56.15,282.262,3.01
54,Yellowknife,90,CA,1563938349,41,62.45,-114.38,298.15,2.1
55,Yarkovo,37,RU,1563938602,82,54.81,82.6,289.15,1.0
56,Marigot,78,HT,1563938602,74,18.23,-72.32,302.15,7.2
57,Taveta,20,TZ,1563938602,87,-3.4,37.68,284.15,2.63
58,Mar del Plata,100,AR,1563938490,74,-46.43,-67.52,276.172,3.28
59,Katsuura,75,JP,1563938602,70,33.93,134.5,304.15,4.1
60,Ponta Delgada,75,PT,1563938603,94,37.73,-25.67,295.15,7.7
61,Aljezur,0,PT,1563938603,69,37.31,-8.8,296.48,1.34
62,Punta Arenas,90,CL,1563938603,75,-53.16,-70.91,273.15,4.1
63,Quelimane,0,MZ,1563938603,93,-17.88,36.89,286.15,1.5
64,Dikson,43,RU,1563938603,86,73.51,80.55,275.462,5.04
65,Manokwari,100,ID,1563938573,83,-0.87,134.08,297.282,0.65
66,Forestville,90,CA,1563938604,77,48.74,-69.09,290.15,1.0
67,Buraydah,75,SA,1563938604,32,26.33,43.97,302.15,4.22
68,Bredasdorp,96,ZA,1563938604,81,-34.53,20.04,284.15,6.2
69,Ulladulla,0,AU,1563938604,31,-35.36,150.48,291.15,2.6
70,Taltal,0,CL,1563938604,84,-25.41,-70.49,279.612,1.45
71,New Norfolk,75,AU,1563938605,47,-42.78,147.06,286.15,5.7
72,Puerto Ayora,69,EC,1563938605,88,-0.74,-90.35,293.71,1.34
73,Saryg-Sep,15,RU,1563938605,38,51.49,95.55,298.502,0.58
74,Puerto Baquerizo Moreno,68,EC,1563938605,81,-0.9,-89.6,293.712,6.1
75,Kavieng,88,PG,1563938605,79,-2.57,150.8,301.232,10.85
76,Mitzic,100,GA,1563938606,99,0.78,11.55,292.992,1.28
77,Flinders,0,AU,1563938606,31,-34.58,150.85,292.04,2.6
78,Omboue,100,GA,1563938606,85,-1.57,9.26,296.042,5.93
79,Punta Alta,90,AR,1563938606,100,-27.46,-55.82,288.15,3.6
80,El Calvario,40,CO,1563938606,71,4.35,-73.71,294.15,3.1
81,Gat,74,SN,1563938607,83,14.69,-16.54,301.15,2.1
82,Cape Town,75,ZA,1563938462,81,-33.93,18.42,286.48,4.6
83,Chuy,100,UY,1563938607,91,-33.69,-53.46,285.002,5.71
84,Tasiilaq,53,GL,1563938370,81,65.61,-37.64,280.15,1.5
85,Touros,11,BR,1563938607,73,-5.2,-35.46,299.182,7.18
86,Beringovskiy,80,RU,1563938607,53,63.05,179.32,285.882,1.9
87,Chokurdakh,54,RU,1563938607,53,70.62,147.9,282.622,9.92
88,Nome,1,US,1563938608,74,30.04,-94.42,299.82,3.1
89,Hermanus,90,ZA,1563938608,98,-34.42,19.24,283.71,3.58
90,Kruisfontein,26,ZA,1563938608,68,-34.0,24.73,282.692,12.23
91,Navahrudak,27,BY,1563938608,99,53.59,25.82,286.092,2.8
92,Pangnirtung,24,CA,1563938457,63,66.15,-65.72,283.192,1.14
93,Gari,64,RU,1563938608,78,59.43,62.35,288.352,3.39
94,Lunenburg,100,CA,1563938609,100,44.38,-64.32,292.04,1.34
95,Turukhansk,99,RU,1563938503,55,65.8,87.96,295.142,0.78
96,Jizan,5,SA,1563938609,49,16.89,42.56,307.15,2.65
97,Milledgeville,90,US,1563938609,94,33.08,-83.23,296.15,1.5
98,Rikitea,45,PF,1563938609,78,-23.12,-134.97,294.802,7.08
99,Kardla,24,EE,1563938610,87,58.44,26.57,288.15,3.1
100,Antalaha,15,MG,1563938610,95,-14.9,50.28,287.582,1.91
101,Garowe,100,SO,1563938610,65,8.41,48.48,295.922,12.97
102,Lagos,20,NG,1563938453,100,6.46,3.39,296.15,2.54
103,Torbay,90,CA,1563938549,100,47.66,-52.73,286.48,10.3
104,Zhigansk,0,RU,1563938610,27,66.77,123.37,300.282,4.56
105,Tiarei,20,PF,1563938353,74,-17.53,-149.33,300.15,5.7
106,Georgetown,0,GY,1563938533,94,6.8,-58.16,298.15,1.0
107,Srednekolymsk,100,RU,1563938611,73,67.46,153.71,282.872,10.17
108,Brest,0,BY,1563938611,93,52.09,23.69,287.15,2.0
109,Gualaquiza,100,EC,1563938611,98,-3.4,-78.58,282.442,1.22
110,Carnarvon,99,ZA,1563938612,70,-30.97,22.13,277.482,12.41
111,Krasnovishersk,1,RU,1563938612,69,60.4,57.08,290.972,0.7
112,Alice Springs,0,AU,1563938612,14,-23.7,133.88,294.15,5.1
113,West Bay,75,CA,1563938612,46,49.34,-123.21,295.15,5.7
114,Madaoua,5,NE,1563938613,58,14.07,5.96,301.342,4.84
115,Charters Towers,14,AU,1563938329,31,-20.07,146.27,297.212,6.29
116,Waingapu,16,ID,1563938613,44,-9.65,120.26,301.032,6.8
117,Tuktoyaktuk,75,CA,1563938369,71,69.44,-133.03,286.15,8.2
118,Mocuba,0,MZ,1563938614,90,-16.84,36.99,284.832,1.46
119,Petropavlovsk-Kamchatskiy,90,RU,1563938614,100,53.05,158.65,286.15,2.0
120,Port Alfred,2,ZA,1563938614,56,-33.59,26.89,286.48,5.36
121,Aswan,15,EG,1563938614,23,24.09,32.9,300.112,4.2
122,Businga,98,CD,1563938614,96,3.34,20.89,293.842,0.92
123,Beyneu,100,KZ,1563938492,26,45.32,55.19,303.332,6.33
124,Shingu,40,JP,1563938615,74,33.72,135.99,303.15,3.1
125,Komsomolskiy,0,RU,1563938615,62,67.55,63.78,286.182,3.03
126,Port Hardy,75,CA,1563938615,67,50.7,-127.42,290.15,4.6
127,Kaitong,64,CN,1563938616,49,44.81,123.15,303.832,3.68
128,Saint-Pierre,0,FR,1563938616,56,48.95,4.24,294.15,3.6
129,Saldanha,0,PT,1563938373,65,41.42,-6.55,293.032,0.66
130,Castro,40,CL,1563938616,100,-42.48,-73.76,274.15,0.5
131,Albany,1,US,1563938557,88,42.65,-73.75,293.71,2.1
132,Grand Gaube,75,MU,1563938616,83,-20.01,57.66,294.15,8.2
133,Paamiut,100,GL,1563938617,96,61.99,-49.67,276.942,6.86
134,Kuito,0,AO,1563938617,34,-12.38,16.94,282.862,1.68
135,Roald,0,NO,1563938617,100,62.58,6.12,289.82,1.5
136,Bambous Virieux,75,MU,1563938617,83,-20.34,57.76,294.15,8.2
137,Cherskiy,100,RU,1563938617,74,68.75,161.3,280.672,4.8
138,Innisfail,0,AU,1563938618,63,-17.52,146.03,295.462,5.03
139,Gallup,90,US,1563938411,63,35.53,-108.74,300.15,4.1
140,Samarai,74,PG,1563938618,69,-10.62,150.67,298.022,4.93
141,Vila Franca do Campo,75,PT,1563938618,94,37.72,-25.43,295.15,7.7
142,Pisco,0,PE,1563938618,85,-13.71,-76.2,289.26,3.58
143,Porto Novo,0,BR,1563938618,87,-23.68,-45.44,287.15,0.5
144,Oranjestad,20,AW,1563938530,88,12.52,-70.03,300.15,6.7
145,Laguna,0,BZ,1563938619,88,16.17,-88.94,300.15,1.29
146,Sawakin,15,SD,1563938619,49,19.1,37.33,301.862,6.76
147,Puerto Escondido,40,MX,1563938619,78,15.86,-97.07,301.15,1.1
148,College,40,US,1563938619,30,64.86,-147.8,302.15,2.1
149,Lakes Entrance,33,AU,1563938620,53,-37.88,147.99,287.59,0.89
150,Touba,35,SN,1563938620,83,14.86,-15.88,301.15,2.1
151,Manggar,99,ID,1563938620,60,-2.88,108.27,302.242,4.45
152,Leh,0,IN,1563938620,23,34.16,77.58,283.552,1.44
153,Havre,1,US,1563938620,45,48.55,-109.68,302.15,3.1
154,Cayenne,0,GF,1563938561,94,4.94,-52.33,296.15,1.48
155,Tazovskiy,97,RU,1563938621,66,67.47,78.7,282.852,7.89
156,Semirom,0,IR,1563938621,12,31.41,51.57,291.842,1.4
157,Takoradi,54,GH,1563938621,96,4.89,-1.75,295.252,1.35
158,Awjilah,0,LY,1563938621,81,29.14,21.3,294.802,4.36
159,Candido Mendes,4,BR,1563938621,98,-1.45,-45.72,295.062,1.05
160,Khatanga,100,RU,1563938425,43,71.98,102.47,286.932,4.24
161,Saint George,20,GR,1563938622,64,39.45,22.34,297.15,2.6
162,Ardabil,75,IR,1563938622,82,38.25,48.3,289.15,1.1
163,Magadan,0,RU,1563938622,58,59.56,150.8,284.402,2.8
164,Solhan,0,TR,1563938622,59,38.97,41.05,289.26,1.5
165,Tabuk,100,PH,1563938623,81,17.41,121.44,298.512,1.13
166,Hilo,20,US,1563938623,65,19.71,-155.08,300.15,4.6
167,Dongsheng,0,CN,1563938623,73,29.72,112.52,304.742,2.3
168,Sao Felix do Xingu,7,BR,1563938623,70,-6.64,-51.99,293.762,0.27
169,Hereford,100,GB,1563938623,94,52.06,-2.72,292.59,1.08
170,Mehamn,0,NO,1563938623,64,71.03,27.85,293.15,6.2
171,Oussouye,75,SN,1563938624,94,12.49,-16.54,298.15,1.0
172,Banda Aceh,57,ID,1563938624,77,5.56,95.32,301.642,4.75
173,Guarapari,20,BR,1563938624,100,-20.67,-40.5,292.04,0.5
174,Thompson,40,CA,1563938336,42,55.74,-97.86,300.15,5.1
175,Diego de Almagro,59,CL,1563938624,91,-26.39,-70.05,277.602,0.31
176,Hamilton,75,CA,1563938561,48,43.26,-79.87,296.15,2.1
177,Tocache,94,PE,1563938625,94,-8.19,-76.51,284.812,1.8
178,Ofaqim,0,IL,1563938625,71,31.31,34.62,295.37,2.01
179,Kodiak,75,US,1563938625,83,39.95,-94.76,294.82,1.82
180,Santa Marta,90,CO,1563938625,83,11.24,-74.21,301.15,5.88
181,Airai,5,TL,1563938625,38,-8.93,125.41,300.842,1.44
182,Celestun,67,MX,1563938626,80,20.87,-90.4,300.562,7.98
183,Fortuna Foothills,1,US,1563938423,26,32.66,-114.41,312.15,4.1
184,Toora-Khem,96,RU,1563938626,40,52.47,96.11,297.352,0.74
185,Mumbwa,0,ZM,1563938626,56,-14.99,27.06,281.432,1.56
186,Severo-Kurilsk,100,RU,1563938626,93,50.68,156.12,281.222,1.29
187,Kara,100,TG,1563938627,92,9.55,1.2,295.162,1.66
188,Hannibal,1,US,1563938505,68,39.71,-91.36,296.48,3.1
189,Sorland,100,NO,1563938627,97,67.67,12.69,284.722,7.09
190,Isangel,75,VU,1563938627,64,-19.55,169.27,297.15,6.2
191,Coffs Harbour,0,AU,1563938627,30,-30.3,153.13,297.04,4.1
192,Kiama,0,AU,1563938627,31,-34.67,150.86,291.15,2.6
193,Arraial do Cabo,0,BR,1563938628,86,-22.97,-42.02,293.362,7.53
194,Noumea,40,NC,1563938490,43,-22.28,166.46,296.15,6.7
195,Nantucket,75,US,1563938628,93,41.28,-70.1,291.15,2.1
196,Diamantino,0,BR,1563938628,42,-14.4,-56.44,295.752,2.15
197,Tabory,98,PL,1563938629,92,53.89,19.53,290.37,1.33
198,Sao Filipe,100,CV,1563938629,86,14.9,-24.5,296.442,8.05
199,Alofi,62,NU,1563938629,61,-19.06,-169.92,298.15,3.6
200,Deer Lake,90,CA,1563938629,82,49.18,-57.43,288.15,2.6
201,Fort Smith,1,US,1563938357,69,35.39,-94.42,297.15,2.6
202,Whitianga,100,NZ,1563938630,80,-36.83,175.7,288.15,2.24
203,Cidreira,100,BR,1563938630,93,-30.17,-50.22,291.102,3.33
204,Nouadhibou,20,MR,1563938630,88,20.93,-17.03,293.15,6.2
205,Mahebourg,75,MU,1563938630,83,-20.41,57.7,294.15,8.2
206,Douglas,75,US,1563938630,63,58.28,-134.39,293.15,4.1
207,Intipuca,100,SV,1563938631,74,13.2,-88.05,302.062,5.37
208,Beloha,0,MG,1563938631,77,-25.17,45.06,286.012,2.66
209,Necochea,30,AR,1563938631,87,-38.55,-58.74,272.59,0.89
210,Oyem,100,GA,1563938631,99,1.6,11.57,292.302,1.26
211,Meridian,1,US,1563938631,44,43.61,-116.39,301.15,2.1
212,Ilulissat,100,GL,1563938382,57,69.22,-51.1,284.15,1.37
213,Norman Wells,20,CA,1563938632,42,65.28,-126.83,301.15,5.1
214,Maceio,75,BR,1563938419,83,-9.67,-35.74,296.15,0.07
215,Mirzapur,40,IN,1563938632,74,25.15,82.57,303.15,1.5
216,Amberieu-en-Bugey,0,FR,1563938632,47,45.96,5.34,300.15,1.5
217,Te Anau,33,NZ,1563938632,71,-45.41,167.72,281.202,0.26
218,Caloundra,0,AU,1563938633,49,-26.8,153.14,298.71,4.6
219,Shimoda,20,JP,1563938633,74,34.7,138.93,302.15,2.6
220,Chicama,100,PE,1563938633,90,-7.84,-79.15,289.782,7.51
221,Rio Grande,100,BR,1563938633,99,-32.03,-52.1,288.15,0.45
222,Namatanai,100,PG,1563938634,90,-3.66,152.44,298.222,8.54
223,Faanui,100,PF,1563938634,81,-16.48,-151.75,299.692,4.54
224,Warwick,90,US,1563938607,88,41.7,-71.42,292.15,0.99
225,Santa Leopoldina,20,BR,1563938634,100,-20.1,-40.53,292.04,0.5
226,Mayo,75,CA,1563938634,34,63.59,-135.9,299.15,2.1
227,Tiksi,22,RU,1563938634,65,71.64,128.87,279.622,2.6
228,Atoyatempan,90,MX,1563938634,82,18.82,-97.91,288.71,2.1
229,Kaeo,0,NZ,1563938363,83,-35.1,173.78,290.37,1.34
230,Meulaboh,97,ID,1563938635,74,4.14,96.13,300.602,2.78
231,Saint Lawrence,20,MT,1563938635,100,36.06,14.2,297.59,1.5
232,Sisimiut,0,GL,1563938635,90,66.94,-53.67,278.272,7.37
233,Durazno,100,UY,1563938486,78,-33.38,-56.52,281.422,5.77
234,Senta,0,RS,1563938636,80,45.93,20.08,289.332,2.61
235,Broome,100,GB,1563938519,73,52.47,1.45,295.93,4.6
236,Acapulco,75,MX,1563938470,78,16.86,-99.88,300.15,1.21
237,Mayahi,0,NE,1563938636,52,13.95,7.67,302.242,4.97
238,Nanortalik,100,GL,1563938636,97,60.14,-45.24,277.662,1.78
239,Trat,40,TH,1563938637,83,12.25,102.51,303.71,4.1
240,Capinopolis,0,BR,1563938637,58,-18.68,-49.57,293.632,4.1
241,Kloulklubed,75,PW,1563938637,74,7.04,134.26,302.15,3.6
242,Petropavlovka,100,RU,1563938637,73,50.61,105.32,289.552,3.33
243,Shaygino,71,RU,1563938637,82,57.77,46.86,288.102,1.08
244,Soderhamn,1,SE,1563938637,82,61.3,17.06,289.26,1.79
245,Hofn,100,IS,1563938638,95,64.25,-15.21,276.952,6.72
246,Bubaque,100,GW,1563938638,86,11.28,-15.83,299.102,7.37
247,Baruun-Urt,100,MN,1563938638,80,46.68,113.28,290.412,5.04
248,Lata,68,IN,1563938638,73,30.78,78.62,284.492,2.33
249,Orsta,31,NO,1563938639,100,62.2,6.13,289.82,1.5
250,Key West,1,US,1563938353,82,47.93,-96.78,294.26,2.1
251,Hicaque,40,HN,1563938639,83,15.76,-87.34,301.15,2.1
252,Haimen,100,CN,1563938639,58,31.87,121.18,312.04,1.34
253,Adrar,0,DZ,1563938639,14,27.87,-0.29,305.15,4.1
254,Akhtubinsk,2,RU,1563938639,37,48.29,46.17,296.992,3.27
255,Westport,90,US,1563938635,93,41.14,-73.36,293.71,2.1
256,Deleni,8,RO,1563938640,100,46.67,24.28,288.15,0.31
257,Madras,1,US,1563938640,52,44.63,-121.13,296.48,1.5
258,Sola,0,TZ,1563938640,42,-3.17,33.8,288.812,2.01
259,Iqaluit,20,CA,1563938460,86,63.75,-68.52,276.15,2.6
260,Geraldton,40,CA,1563938640,72,49.72,-86.95,292.15,2.1
261,Bloemhof,0,ZA,1563938641,85,-27.65,25.61,276.032,3.97
262,Kenai,90,US,1563938641,82,60.55,-151.26,290.93,6.7
263,Panaba,1,MX,1563938641,81,21.28,-88.27,299.152,2.51
264,Pevek,78,RU,1563938641,91,69.7,170.27,273.752,3.57
265,Lagoa,0,PT,1563938466,94,37.14,-8.45,296.48,1.5
266,Youghal,40,IE,1563938642,93,51.95,-7.85,290.37,4.6
267,Belmonte,0,PT,1563938642,62,40.36,-7.35,294.82,0.4
268,Nogliki,100,RU,1563938642,89,51.8,143.14,283.522,9.56
269,Merauke,41,ID,1563938642,83,-8.49,140.4,298.912,8.27
270,Ewo,100,CG,1563938642,70,-0.88,14.81,296.902,3.4
271,Poum,0,MK,1563938642,77,41.28,20.71,288.15,2.1
272,Alekseyevka,0,RU,1563938643,82,53.25,50.49,289.15,1.0
273,Hovd,75,NO,1563938643,93,63.83,10.7,290.37,2.1
274,Vangaindrano,74,MG,1563938644,92,-23.35,47.6,287.342,1.33
275,Terrace,75,CA,1563938644,49,54.52,-128.61,293.15,10.3
276,Oskarshamn,0,SE,1563938644,100,57.26,16.44,291.48,1.0
277,Aras,0,ES,1563938644,73,42.56,-2.36,294.26,0.5
278,Egvekinot,100,RU,1563938644,92,66.32,-179.17,280.192,0.77
